,Unnamed: 2
0,0.003193911050545
1,0.003193911050545
2,0.0095817331516352
3,-0.003193911050545
4,-0.003193911050545
5,-0.003193911050545
6,-0.0159695552527254
7,-0.0127756442021803
8,-0.003193911050545
9,-0.0127756442021803
10,-0.0223573773538156
11,-0.0191634663032705
12,-0.0063878221010901
13,-0.0095817331516352
14,0.0
15,0.0095817331516352
16,0.0127756442021803
17,0.0095817331516352
18,0.003193911050545
19,0.0
20,-0.0095817331516352
21,-0.0127756442021803
22,-0.0127756442021803
23,-0.0127756442021803
24,0.0
25,-0.003193911050545
26,-0.0127756442021803
27,-0.0159695552527254
28,-0.0127756442021803
29,-0.003193911050545
30,0.003193911050545
31,0.0063878221010901
32,0.003193911050545
33,0.0063878221010901
34,0.0
35,0.0095817331516352
36,0.0
37,-0.0063878221010901
38,0.0
39,-0.0063878221010901
40,-0.0127756442021803
41,-0.0127756442021803
42,-0.0095817331516352
43,-0.0223573773538156
44,-0.0159695552527254
45,-0.0063878221010901
46,-0.003193911050545
47,0.003193911050545
48,0.0063878221010901
49,0.0095817331516352
50,0.0127756442021803
51,0.0159695552527254
52,-0.003193911050545
53,-0.003193911050545
54,-0.0063878221010901
55,-0.0063878221010901
56,-0.0063878221010901
57,-0.0127756442021803
58,-0.0127756442021803
59,-0.0127756442021803
60,-0.0191634663032705
61,-0.0095817331516352
62,0.0
63,0.0095817331516352
64,0.003193911050545
65,0.0
66,0.0
67,0.0
68,0.0063878221010901
69,-0.003193911050545
70,-0.0063878221010901
71,-0.003193911050545
72,-0.0159695552527254
73,0.0
74,0.0
75,-0.0063878221010901
76,-0.0191634663032705
77,-0.0159695552527254
78,-0.003193911050545
79,-0.003193911050545
80,-0.003193911050545
81,0.0
82,0.0
83,0.003193911050545
84,0.0
85,0.0095817331516352
86,-0.0063878221010901
87,-0.0095817331516352
88,-0.003193911050545
89,-0.0063878221010901
90,-0.003193911050545
91,-0.003193911050545
92,-0.003193911050545
93,-0.0191634663032705
94,-0.0159695552527254
95,-0.0063878221010901
96,-0.003193911050545
97,0.0063878221010901
98,0.0127756442021803
99,0.003193911050545
100,0.0095817331516352
101,0.003193911050545
102,-0.0095817331516352
103,-0.0063878221010901
104,-0.0127756442021803
105,-0.0063878221010901
106,-0.003193911050545
107,-0.0063878221010901
108,-0.0159695552527254
109,-0.0223573773538156
110,-0.0223573773538156
111,-0.0095817331516352
112,-0.003193911050545
113,0.003193911050545
114,0.0063878221010901
115,0.0063878221010901
116,0.0
117,0.0095817331516352
118,0.0127756442021803
119,0.003193911050545
120,-0.0095817331516352
121,-0.003193911050545
122,-0.003193911050545
123,-0.003193911050545
124,-0.0063878221010901
125,-0.0191634663032705
126,-0.0223573773538156
127,-0.0191634663032705
128,0.0
129,0.0
130,0.0095817331516352
131,0.003193911050545
132,0.0
133,0.003193911050545
134,0.003193911050545
135,0.003193911050545
136,-0.0063878221010901
137,-0.0063878221010901
138,-0.0063878221010901
139,-0.0095817331516352
140,-0.003193911050545
141,-0.0095817331516352
142,-0.0159695552527254
143,-0.0191634663032705
144,-0.0095817331516352
145,0.0063878221010901
146,0.0
147,0.0
148,0.0
149,0.0
150,0.003193911050545
151,0.0
152,0.0063878221010901
153,0.0
154,0.003193911050545
155,-0.0063878221010901
156,-0.003193911050545
157,-0.0095817331516352
158,-0.0095817331516352
159,-0.0127756442021803
160,-0.0095817331516352
161,-0.0191634663032705
162,-0.0191634663032705
163,0.0
164,0.0095817331516352
165,0.003193911050545
166,0.0063878221010901
167,-0.003193911050545
168,0.0063878221010901
169,0.003193911050545
170,-0.003193911050545
171,0.0
172,0.0
173,-0.003193911050545
174,-0.0127756442021803
175,-0.0159695552527254
176,-0.0223573773538156
